event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828888,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:00:00,P1
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P1
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146829218,,,,,,,2023-05-04 00:00:00,P1
ActorSpawned,BP_RegionMarker3DWidgets_C_2146828884,,,,,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828869,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828868,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828867,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828866,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P1
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,,2023-05-04 00:00:00,P1
DataViewDestroyed,DataView_2146828869,AverageIncome-MapFilter-Info,AverageIncome,[],,,,2023-05-04 00:00:00,P1
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P1
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:00,P1
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146828882,,,,2017,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828836,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828835,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828834,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:00,P1
DataViewCreated,DataView_2146828833,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:00,P1
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P1
ActorSpawned,BP_RegionMarker3DWidgets_C_2146828655,,,,,,,2023-05-04 00:00:10,P1
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,,,2023-05-04 00:00:10,P1
DataViewCreated,DataView_2146828611,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:10,P1
DataViewCreated,DataView_2146828610,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:10,P1
DataViewCreated,DataView_2146828609,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:10,P1
DataViewCreated,DataView_2146828608,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:10,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,,2023-05-04 00:00:25,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,,2023-05-04 00:00:25,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2015,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2015,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,,2023-05-04 00:00:26,P1
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,,2023-05-04 00:00:26,P1
