event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146413469,,,,,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2017,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
DataViewCreated,DataView_2146413425,Age-Main,Age,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
DataViewCreated,DataView_2146413424,Age-Education-Side,Education,"[Education, Year]",,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
DataViewCreated,DataView_2146413423,Age-Income-Side,Income,"[Income, Year]",,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
DataViewCreated,DataView_2146413422,AverageAge-Nation,AverageAge,[Year],,,both,2023-05-04 00:00:00,P3,2023-05-04 00:00:09,9.0
DataViewCreated,DataView_2146413314,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146413798,,,,,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146413310,,,,,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413295,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413294,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413293,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413292,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewDestroyed,DataView_2146413295,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146413308,,,,2017,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413262,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413261,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
DataViewCreated,DataView_2146413260,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:09,P3,2023-05-04 00:00:22,13.0
