event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P5
ActorSpawned,BP_RegionMarker3DWidgets_C_2146757969,,,,,,,2023-05-04 00:00:00,P5
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146757967,,,,2017,,,2023-05-04 00:00:00,P5
DataViewCreated,DataView_2146757925,Age-Main,Age,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:00,P5
DataViewCreated,DataView_2146757924,Age-Education-Side,Education,"[Education, Year]",,,,2023-05-04 00:00:00,P5
DataViewCreated,DataView_2146757923,Age-Income-Side,Income,"[Income, Year]",,,,2023-05-04 00:00:00,P5
DataViewCreated,DataView_2146757922,AverageAge-Nation,AverageAge,[Year],,,,2023-05-04 00:00:00,P5
DataViewCreated,DataView_2146757814,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:00:13,P5
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:13,P5
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146758288,,,,,,,2023-05-04 00:00:13,P5
ActorSpawned,BP_RegionMarker3DWidgets_C_2146757810,,,,,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757795,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757794,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757793,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757792,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:13,P5
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,,2023-05-04 00:00:13,P5
DataViewDestroyed,DataView_2146757795,AverageIncome-MapFilter-Info,AverageIncome,[],,,,2023-05-04 00:00:13,P5
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:13,P5
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:13,P5
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146757808,,,,2017,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757762,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757761,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757760,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:13,P5
DataViewCreated,DataView_2146757759,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:13,P5
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:13,P5
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146757969,,,,,,,2023-05-04 00:00:22,P5
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146757967,,,,,,,2023-05-04 00:00:22,P5
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146757810,,,,,,,2023-05-04 00:00:25,P5
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146757808,,,,,,,2023-05-04 00:00:25,P5
ActorSpawned,BP_RegionMarker3DWidgets_C_2146757573,,,,,,,2023-05-04 00:00:28,P5
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146757571,,,,2017,,,2023-05-04 00:00:28,P5
