event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073401,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146073720,,,,,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146073397,,,,,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073382,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073381,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073380,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073379,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewDestroyed,DataView_2146073382,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146073395,,,,2017,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073349,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073348,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073347,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
DataViewCreated,DataView_2146073346,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P4,2023-05-04 00:00:12,12.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146073168,,,,,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
DataViewCreated,DataView_2146073124,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
DataViewCreated,DataView_2146073123,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
DataViewCreated,DataView_2146073122,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
DataViewCreated,DataView_2146073121,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:12,P4,2023-05-04 00:00:48,36.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,both,2023-05-04 00:00:48,P4,2023-05-04 00:00:52,4.0
Task 2,,,,,,,,2023-05-04 00:00:52,P4,2023-05-04 00:01:51,59.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,male,2023-05-04 00:01:51,P4,2023-05-04 00:02:05,14.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,female,2023-05-04 00:02:05,P4,2023-05-04 00:02:14,9.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,male,2023-05-04 00:02:14,P4,2023-05-04 00:02:19,5.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,female,2023-05-04 00:02:19,P4,2023-05-04 00:02:24,5.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,male,2023-05-04 00:02:24,P4,2023-05-04 00:02:31,7.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,both,2023-05-04 00:02:31,P4,2023-05-04 00:02:33,2.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,both,2023-05-04 00:02:33,P4,2023-05-04 00:02:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,male,2023-05-04 00:02:34,P4,2023-05-04 00:02:53,19.0
Task 3,,,,,,,,2023-05-04 00:02:53,P4,2023-05-04 00:03:10,17.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146073168,,,,,,both,2023-05-04 00:03:10,P4,2023-05-04 00:03:42,32.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146073166,,,,,,both,2023-05-04 00:03:10,P4,2023-05-04 00:03:42,32.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:03:42,P4,2023-05-04 00:03:45,3.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:03:45,P4,2023-05-04 00:03:47,2.0
DataViewDestroyed,DataView_2146073401,AverageIncome-Municipality,AverageIncome,[],,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
DataViewCreated,DataView_2146073006,AverageIncome-County,AverageIncome,"[County, Year]",,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146073397,,,,,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146073002,,,,,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146073000,,,,2017,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
DataViewCreated,DataView_2146072937,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
DataViewCreated,DataView_2146072936,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
DataViewCreated,DataView_2146072935,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:03:47,P4,2023-05-04 00:03:55,8.0
