event,ID,year,municipality,gender,start,end,participant,duration,view,complete
Task 1,,,,,2023-05-04 00:00:00,2023-05-04 00:00:09,P3,9.0,AgeButton,True
FilterSetCreated,2146413467,2017,,both,2023-05-04 00:00:00,2023-05-04 00:00:09,P3,9.0,AgeButton,True
FilterSetCreated,2146413308,2017,,both,2023-05-04 00:00:09,2023-05-04 00:00:22,P3,13.0,IncomeButton,False
FilterSetUpdated,2146413467,2016,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2017,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2016,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2015,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2016,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2015,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2014,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2015,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2014,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2013,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2014,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2013,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2012,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2013,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2012,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2011,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2012,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2011,Norrk?ping,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P3,3.0,IncomeButton,True
FilterSetUpdated,2146413467,2012,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2011,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2012,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2013,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2015,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2013,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2016,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2015,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
FilterSetUpdated,2146413467,2017,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:35,P3,10.0,IncomeButton,True
Task 2,,,,,2023-05-04 00:01:33,2023-05-04 00:01:36,P3,3.0,IncomeButton,True
FilterSetCreated,2146413074,2017,,male,2023-05-04 00:01:36,2023-05-04 00:01:37,P3,1.0,IncomeButton,False
FilterSetCreated,2146412805,2017,,both,2023-05-04 00:01:39,2023-05-04 00:01:48,P3,9.0,IncomeButton,False
FilterSetUpdated,2146413467,2017,Norrk?ping,both,2023-05-04 00:01:48,2023-05-04 00:01:49,P3,1.0,IncomeButton,True
FilterSetUpdated,2146413467,2017,Norrk?ping,female,2023-05-04 00:01:49,2023-05-04 00:01:54,P3,5.0,IncomeButton,True
FilterSetCreated,2146412599,2017,,both,2023-05-04 00:01:54,2023-05-04 00:01:58,P3,4.0,IncomeButton,True
FilterSetDestroyed,2146412599,,,both,2023-05-04 00:01:58,2023-05-04 00:02:00,P3,2.0,IncomeButton,True
FilterSetCreated,2146412440,2017,,both,2023-05-04 00:02:00,2023-05-04 00:02:04,P3,4.0,IncomeButton,True
FilterSetUpdated,2146412440,2017,Norrk?ping,both,2023-05-04 00:02:04,2023-05-04 00:02:12,P3,8.0,IncomeButton,True
FilterSetUpdated,2146412440,2017,Norrk?ping,male,2023-05-04 00:02:12,2023-05-04 00:02:46,P3,34.0,IncomeButton,True
FilterSetDestroyed,2146413467,,,both,2023-05-04 00:02:46,2023-05-04 00:02:47,P3,1.0,IncomeButton,True
FilterSetCreated,2146412280,2017,,both,2023-05-04 00:02:47,2023-05-04 00:02:52,P3,5.0,IncomeButton,True
