event,ID,year,municipality,gender,start,end,participant,duration,view,complete
Task 1,,,,,2023-05-04 00:00:00,2023-05-04 00:00:13,P5,13.0,AgeButton,True
FilterSetCreated,2146757967,2017,,both,2023-05-04 00:00:00,2023-05-04 00:00:13,P5,13.0,AgeButton,True
FilterSetCreated,2146757808,2017,,both,2023-05-04 00:00:13,2023-05-04 00:00:22,P5,9.0,IncomeButton,True
FilterSetDestroyed,2146757967,,,both,2023-05-04 00:00:22,2023-05-04 00:00:25,P5,3.0,IncomeButton,True
FilterSetDestroyed,2146757808,,,both,2023-05-04 00:00:25,2023-05-04 00:00:28,P5,3.0,IncomeButton,True
FilterSetCreated,2146757571,2017,,both,2023-05-04 00:00:28,2023-05-04 00:00:37,P5,9.0,IncomeButton,True
FilterSetUpdated,2146757571,2016,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2015,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2014,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2013,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2012,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2011,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2010,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2009,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2008,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2007,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2006,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2005,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2004,Norrk?ping,both,2023-05-04 00:00:37,2023-05-04 00:00:38,P5,1.0,IncomeButton,True
FilterSetUpdated,2146757571,2005,Norrk?ping,both,2023-05-04 00:00:38,2023-05-04 00:00:44,P5,6.0,IncomeButton,True
FilterSetUpdated,2146757571,2006,Norrk?ping,both,2023-05-04 00:00:38,2023-05-04 00:00:44,P5,6.0,IncomeButton,True
FilterSetUpdated,2146757571,2007,Norrk?ping,both,2023-05-04 00:00:38,2023-05-04 00:00:44,P5,6.0,IncomeButton,True
FilterSetUpdated,2146757571,2008,Norrk?ping,both,2023-05-04 00:00:38,2023-05-04 00:00:44,P5,6.0,IncomeButton,True
FilterSetUpdated,2146757571,2010,Norrk?ping,both,2023-05-04 00:00:38,2023-05-04 00:00:44,P5,6.0,IncomeButton,True
