event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146757969,,,,,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146757967,,,,2017,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
DataViewCreated,DataView_2146757925,Age-Main,Age,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
DataViewCreated,DataView_2146757924,Age-Education-Side,Education,"[Education, Year]",,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
DataViewCreated,DataView_2146757923,Age-Income-Side,Income,"[Income, Year]",,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
DataViewCreated,DataView_2146757922,AverageAge-Nation,AverageAge,[Year],,,both,2023-05-04 00:00:00,P5,2023-05-04 00:00:13,13.0
DataViewCreated,DataView_2146757814,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146758288,,,,,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146757810,,,,,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
DataViewCreated,DataView_2146757795,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
DataViewCreated,DataView_2146757794,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
DataViewCreated,DataView_2146757793,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
DataViewCreated,DataView_2146757792,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
DataViewDestroyed,DataView_2146757795,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:13,P5,2023-05-04 00:00:22,9.0
