event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:12,P4,12.0,True
FilterSetCreated,2146073395,2023-05-04 00:00:00,2023-05-04 00:00:12,P4,12.0,False
FilterSetCreated,2146073166,2023-05-04 00:00:12,2023-05-04 00:00:52,P4,36.0,True
Task 2,,2023-05-04 00:00:52,2023-05-04 00:01:51,P4,59.0,True
FilterSetUpdated,2146073166,2023-05-04 00:01:51,2023-05-04 00:02:53,P4,14.0,True
Task 3,,2023-05-04 00:02:53,2023-05-04 00:03:10,P4,17.0,True
FilterSetDestroyed,2146073166,2023-05-04 00:03:10,2023-05-04 00:03:42,P4,32.0,True
FilterSetCreated,2146073000,2023-05-04 00:03:47,2023-05-04 00:03:55,P4,8.0,False
FilterSetCreated,2146072764,2023-05-04 00:03:55,2023-05-04 00:03:58,P4,3.0,True
FilterSetCreated,2146072609,2023-05-04 00:03:58,2023-05-04 00:04:01,P4,2.0,True
FilterSetCreated,2146072450,2023-05-04 00:04:01,2023-05-04 00:04:09,P4,4.0,True
FilterSetUpdated,2146072764,2023-05-04 00:04:09,2023-05-04 00:04:29,P4,4.0,True
FilterSetCreated,2146072282,2023-05-04 00:04:29,2023-05-04 00:04:58,P4,29.0,False
FilterSetCreated,2146071741,2023-05-04 00:04:58,2023-05-04 00:05:28,P4,8.0,True
FilterSetCreated,2146071585,2023-05-04 00:05:28,2023-05-04 00:05:30,P4,2.0,True
FilterSetCreated,2146071430,2023-05-04 00:05:30,2023-05-04 00:05:33,P4,2.0,True
FilterSetUpdated,2146071585,2023-05-04 00:05:33,2023-05-04 00:05:46,P4,2.0,True
FilterSetCreated,2146071266,2023-05-04 00:05:46,2023-05-04 00:05:58,P4,2.0,True
FilterSetCreated,2146071106,2023-05-04 00:05:58,2023-05-04 00:06:06,P4,2.0,True
FilterSetDestroyed,2146071741,2023-05-04 00:06:06,2023-05-04 00:06:16,P4,10.0,True
FilterSetCreated,2146070946,2023-05-04 00:06:16,2023-05-04 00:06:25,P4,5.0,True
FilterSetDestroyed,2146071106,2023-05-04 00:06:25,2023-05-04 00:06:58,P4,33.0,True
