event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828888,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146829218,,,,,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146828884,,,,,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828869,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828868,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828867,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828866,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewDestroyed,DataView_2146828869,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146828882,,,,2017,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828836,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828835,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828834,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
DataViewCreated,DataView_2146828833,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P1,2023-05-04 00:00:10,10.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146828655,,,,,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
DataViewCreated,DataView_2146828611,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
DataViewCreated,DataView_2146828610,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
DataViewCreated,DataView_2146828609,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
DataViewCreated,DataView_2146828608,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:10,P1,2023-05-04 00:00:25,15.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,both,2023-05-04 00:00:25,P1,2023-05-04 00:00:26,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:00:25,P1,2023-05-04 00:00:26,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2015,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2015,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2016,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:00:26,P1,2023-05-04 00:00:54,28.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:00:54,P1,2023-05-04 00:00:57,3.0
Task 2,,,,,,,,2023-05-04 00:00:57,P1,2023-05-04 00:01:00,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,male,2023-05-04 00:01:00,P1,2023-05-04 00:01:01,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,female,2023-05-04 00:01:01,P1,2023-05-04 00:01:02,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,male,2023-05-04 00:01:02,P1,2023-05-04 00:01:06,4.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,both,2023-05-04 00:01:06,P1,2023-05-04 00:01:07,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,female,2023-05-04 00:01:06,P1,2023-05-04 00:01:07,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828653,,,,2017,Norrk?ping,male,2023-05-04 00:01:07,P1,2023-05-04 00:01:12,5.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146828499,,,,,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146828497,,,,2017,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
DataViewCreated,DataView_2146828455,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
DataViewCreated,DataView_2146828454,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
DataViewCreated,DataView_2146828453,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
DataViewCreated,DataView_2146828452,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:01:12,P1,2023-05-04 00:01:15,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828497,,,,2017,Norrk?ping,both,2023-05-04 00:01:15,P1,2023-05-04 00:01:18,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146828497,,,,2017,Norrk?ping,female,2023-05-04 00:01:18,P1,2023-05-04 00:01:56,38.0
Task 3,,,,,,,,2023-05-04 00:01:56,P1,2023-05-04 00:02:12,16.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146828499,,,,,,both,2023-05-04 00:02:12,P1,2023-05-04 00:02:13,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146828497,,,,,,both,2023-05-04 00:02:12,P1,2023-05-04 00:02:13,1.0
