event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P2
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146601354,,,,,,,2023-05-04 00:00:00,P2
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600960,,,,,,,2023-05-04 00:00:12,P2
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,,,2023-05-04 00:00:12,P2
DataViewCreated,DataView_2146600916,Age-Main,Age,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:12,P2
DataViewCreated,DataView_2146600915,Age-Education-Side,Education,"[Education, Year]",,,,2023-05-04 00:00:12,P2
DataViewCreated,DataView_2146600914,Age-Income-Side,Income,"[Income, Year]",,,,2023-05-04 00:00:12,P2
DataViewCreated,DataView_2146600913,AverageAge-Nation,AverageAge,[Year],,,,2023-05-04 00:00:12,P2
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:23,P2
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600802,,,,2017,,,2023-05-04 00:00:23,P2
DataViewCreated,DataView_2146600756,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:23,P2
DataViewCreated,DataView_2146600755,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:23,P2
DataViewCreated,DataView_2146600754,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:23,P2
DataViewCreated,DataView_2146600753,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:23,P2
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:23,P2
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600804,,,,,,,2023-05-04 00:00:34,P2
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600802,,,,,,,2023-05-04 00:00:34,P2
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,,2023-05-04 00:00:39,P2
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:43,P2
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:54,P2
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,,2023-05-04 00:01:02,P2
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,,2023-05-04 00:01:05,P2
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,,2023-05-04 00:01:08,P2
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600960,,,,,,,2023-05-04 00:01:09,P2
