event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:09,P3,9.0,True
FilterSetCreated,2146413467,2023-05-04 00:00:00,2023-05-04 00:00:09,P3,9.0,True
FilterSetCreated,2146413308,2023-05-04 00:00:09,2023-05-04 00:00:22,P3,13.0,False
FilterSetUpdated,2146413467,2023-05-04 00:00:22,2023-05-04 00:00:35,P3,3.0,True
Task 2,,2023-05-04 00:01:33,2023-05-04 00:01:36,P3,3.0,True
FilterSetCreated,2146413074,2023-05-04 00:01:36,2023-05-04 00:01:37,P3,1.0,False
FilterSetCreated,2146412805,2023-05-04 00:01:39,2023-05-04 00:01:48,P3,9.0,False
FilterSetUpdated,2146413467,2023-05-04 00:01:48,2023-05-04 00:01:54,P3,1.0,True
FilterSetCreated,2146412599,2023-05-04 00:01:54,2023-05-04 00:02:00,P3,4.0,True
FilterSetCreated,2146412440,2023-05-04 00:02:00,2023-05-04 00:02:46,P3,4.0,True
FilterSetDestroyed,2146413467,2023-05-04 00:02:46,2023-05-04 00:02:47,P3,1.0,True
FilterSetCreated,2146412280,2023-05-04 00:02:47,2023-05-04 00:03:58,P3,5.0,True
Task 3,,2023-05-04 00:03:58,2023-05-04 00:04:04,P3,6.0,True
FilterSetCreated,2146412118,2023-05-04 00:04:10,2023-05-04 00:04:30,P3,20.0,False
FilterSetCreated,2146411882,2023-05-04 00:04:30,2023-05-04 00:04:54,P3,12.0,True
FilterSetDestroyed,2146412280,2023-05-04 00:04:54,2023-05-04 00:04:55,P3,1.0,True
FilterSetDestroyed,2146412440,2023-05-04 00:04:55,2023-05-04 00:05:08,P3,13.0,True
FilterSetCreated,2146411714,2023-05-04 00:05:08,2023-05-04 00:05:44,P3,5.0,True
FilterSetCreated,2146411551,2023-05-04 00:05:44,2023-05-04 00:05:46,P3,2.0,False
FilterSetCreated,2146411006,2023-05-04 00:05:46,2023-05-04 00:05:47,P3,1.0,False
FilterSetCreated,2146410780,2023-05-04 00:05:47,2023-05-04 00:05:58,P3,10.0,True
FilterSetCreated,2146410621,2023-05-04 00:05:58,2023-05-04 00:06:01,P3,2.0,True
FilterSetCreated,2146410462,2023-05-04 00:06:01,2023-05-04 00:06:16,P3,2.0,True
FilterSetCreated,2146410303,2023-05-04 00:06:16,2023-05-04 00:06:24,P3,8.0,True
FilterSetCreated,2146410148,2023-05-04 00:06:24,2023-05-04 00:06:26,P3,2.0,True
FilterSetCreated,2146409989,2023-05-04 00:06:26,2023-05-04 00:06:31,P3,5.0,True
FilterSetDestroyed,2146410148,2023-05-04 00:06:31,2023-05-04 00:06:34,P3,3.0,True
FilterSetDestroyed,2146410303,2023-05-04 00:06:34,2023-05-04 00:06:54,P3,20.0,True
FilterSetCreated,2146409440,2023-05-04 00:06:54,2023-05-04 00:07:02,P3,8.0,True
FilterSetCreated,2146409285,2023-05-04 00:07:02,2023-05-04 00:07:06,P3,4.0,True
FilterSetCreated,2146409130,2023-05-04 00:07:06,2023-05-04 00:07:27,P3,21.0,True
FilterSetDestroyed,2146409989,2023-05-04 00:07:27,2023-05-04 00:07:28,P3,1.0,True
FilterSetUpdated,2146409440,2023-05-04 00:07:29,2023-05-04 00:07:46,P3,1.0,True
FilterSetCreated,2146408970,2023-05-04 00:07:46,2023-05-04 00:07:57,P3,11.0,True
FilterSetCreated,2146408815,2023-05-04 00:07:57,2023-05-04 00:08:00,P3,3.0,True
FilterSetUpdated,2146408970,2023-05-04 00:08:00,2023-05-04 00:08:13,P3,1.0,True
FilterSetCreated,2146408660,2023-05-04 00:08:13,2023-05-04 00:08:19,P3,6.0,True
FilterSetCreated,2146408505,2023-05-04 00:08:19,2023-05-04 00:08:24,P3,5.0,True
FilterSetCreated,2146408350,2023-05-04 00:08:24,2023-05-04 00:08:32,P3,8.0,True
FilterSetCreated,2146408195,2023-05-04 00:08:32,2023-05-04 00:08:42,P3,10.0,True
FilterSetCreated,2146408040,2023-05-04 00:08:42,2023-05-04 00:09:06,P3,24.0,True
FilterSetUpdated,2146408660,2023-05-04 00:09:06,2023-05-04 00:09:55,P3,1.0,True
FilterSetUpdated,2146408195,2023-05-04 00:09:55,2023-05-04 00:09:57,P3,1.0,True
FilterSetUpdated,2146408505,2023-05-04 00:09:57,2023-05-04 00:10:01,P3,1.0,True
FilterSetUpdated,2146409440,2023-05-04 00:10:01,2023-05-04 00:10:03,P3,1.0,True
FilterSetUpdated,2146409130,2023-05-04 00:10:03,2023-05-04 00:10:11,P3,8.0,True
FilterSetDestroyed,2146409440,2023-05-04 00:10:11,2023-05-04 00:10:20,P3,9.0,True
FilterSetUpdated,2146408040,2023-05-04 00:10:20,2023-05-04 00:10:25,P3,1.0,True
FilterSetDestroyed,2146408505,2023-05-04 00:10:25,2023-05-04 00:10:28,P3,3.0,True
FilterSetDestroyed,2146409130,2023-05-04 00:10:28,2023-05-04 00:10:30,P3,2.0,True
FilterSetUpdated,2146408350,2023-05-04 00:10:30,2023-05-04 00:10:39,P3,2.0,True
FilterSetUpdated,2146409285,2023-05-04 00:10:39,2023-05-04 00:10:46,P3,1.0,True
FilterSetUpdated,2146408815,2023-05-04 00:10:46,2023-05-04 00:10:54,P3,5.0,True
FilterSetDestroyed,2146408040,2023-05-04 00:10:54,2023-05-04 00:10:55,P3,1.0,True
FilterSetDestroyed,2146408195,2023-05-04 00:10:55,2023-05-04 00:10:57,P3,2.0,True
FilterSetUpdated,2146408660,2023-05-04 00:10:57,2023-05-04 00:11:07,P3,1.0,True
FilterSetUpdated,2146408970,2023-05-04 00:11:07,2023-05-04 00:11:23,P3,2.0,True
FilterSetCreated,2146407839,2023-05-04 00:11:23,2023-05-04 00:11:37,P3,3.0,True
FilterSetCreated,2146407679,2023-05-04 00:11:37,2023-05-04 00:11:50,P3,2.0,True
FilterSetCreated,2146407523,2023-05-04 00:11:50,2023-05-04 00:12:30,P3,4.0,True
FilterSetDestroyed,2146408815,2023-05-04 00:12:30,2023-05-04 00:12:31,P3,1.0,True
FilterSetDestroyed,2146407679,2023-05-04 00:12:31,2023-05-04 00:12:32,P3,1.0,True
FilterSetDestroyed,2146407523,2023-05-04 00:12:32,2023-05-04 00:12:37,P3,5.0,True
FilterSetCreated,2146407355,2023-05-04 00:12:37,2023-05-04 00:12:40,P3,3.0,True
Task 4,,2023-05-04 00:12:37,2023-05-04 00:12:40,P3,3.0,True
FilterSetCreated,2146407200,2023-05-04 00:12:40,2023-05-04 00:12:43,P3,2.0,True
FilterSetCreated,2146407041,2023-05-04 00:12:43,2023-05-04 00:12:55,P3,12.0,True
FilterSetUpdated,2146407355,2023-05-04 00:12:55,2023-05-04 00:13:02,P3,1.0,True
FilterSetUpdated,2146407041,2023-05-04 00:13:02,2023-05-04 00:13:17,P3,1.0,True
FilterSetCreated,2146406884,2023-05-04 00:13:17,2023-05-04 00:13:27,P3,10.0,True
FilterSetCreated,2146406729,2023-05-04 00:13:27,2023-05-04 00:13:37,P3,3.0,True
FilterSetUpdated,2146406884,2023-05-04 00:13:37,2023-05-04 00:13:41,P3,2.0,True
FilterSetUpdated,2146407041,2023-05-04 00:13:41,2023-05-04 00:13:53,P3,12.0,True
FilterSetUpdated,2146406884,2023-05-04 00:13:53,2023-05-04 00:13:54,P3,1.0,True
FilterSetUpdated,2146406729,2023-05-04 00:13:54,2023-05-04 00:15:30,P3,3.0,True
Task 5,,2023-05-04 00:15:30,2023-05-04 00:16:16,P3,46.0,True
FilterSetCreated,2146406570,2023-05-04 00:16:16,2023-05-04 00:18:10,P3,114.0,True
FilterSetDestroyed,2146407355,2023-05-04 00:18:51,2023-05-04 00:18:52,P3,1.0,True
FilterSetDestroyed,2146406729,2023-05-04 00:18:52,2023-05-04 00:18:53,P3,1.0,True
