event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P2,2023-05-04 00:00:12,12.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146601354,,,,,,both,2023-05-04 00:00:00,P2,2023-05-04 00:00:12,12.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600960,,,,,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
DataViewCreated,DataView_2146600916,Age-Main,Age,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
DataViewCreated,DataView_2146600915,Age-Education-Side,Education,"[Education, Year]",,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
DataViewCreated,DataView_2146600914,Age-Income-Side,Income,"[Income, Year]",,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
DataViewCreated,DataView_2146600913,AverageAge-Nation,AverageAge,[Year],,,both,2023-05-04 00:00:12,P2,2023-05-04 00:00:23,11.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600802,,,,2017,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
DataViewCreated,DataView_2146600756,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
DataViewCreated,DataView_2146600755,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
DataViewCreated,DataView_2146600754,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
DataViewCreated,DataView_2146600753,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:23,P2,2023-05-04 00:00:34,11.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600804,,,,,,both,2023-05-04 00:00:34,P2,2023-05-04 00:00:39,5.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600802,,,,,,both,2023-05-04 00:00:34,P2,2023-05-04 00:00:39,5.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,both,2023-05-04 00:00:39,P2,2023-05-04 00:00:43,4.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:43,P2,2023-05-04 00:00:54,11.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:54,P2,2023-05-04 00:01:02,8.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,both,2023-05-04 00:01:02,P2,2023-05-04 00:01:05,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,both,2023-05-04 00:01:05,P2,2023-05-04 00:01:08,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600958,,,,2017,Norrk?ping,both,2023-05-04 00:01:08,P2,2023-05-04 00:01:09,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600960,,,,,,both,2023-05-04 00:01:09,P2,2023-05-04 00:01:11,2.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600958,,,,,,both,2023-05-04 00:01:09,P2,2023-05-04 00:01:11,2.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:01:11,P2,2023-05-04 00:01:16,5.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600560,,,,,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
DataViewCreated,DataView_2146600516,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
DataViewCreated,DataView_2146600515,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
DataViewCreated,DataView_2146600514,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
DataViewCreated,DataView_2146600513,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:01:16,P2,2023-05-04 00:01:19,3.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:01:19,P2,2023-05-04 00:01:57,38.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,both,2023-05-04 00:01:57,P2,2023-05-04 00:02:02,5.0
Task 2,,,,,,,,2023-05-04 00:01:57,P2,2023-05-04 00:02:02,5.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,both,2023-05-04 00:02:02,P2,2023-05-04 00:02:04,2.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,both,2023-05-04 00:02:04,P2,2023-05-04 00:02:05,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,female,2023-05-04 00:02:04,P2,2023-05-04 00:02:05,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,male,2023-05-04 00:02:05,P2,2023-05-04 00:02:06,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,female,2023-05-04 00:02:06,P2,2023-05-04 00:02:17,11.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,both,2023-05-04 00:02:06,P2,2023-05-04 00:02:17,11.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600558,,,,2017,Norrk?ping,male,2023-05-04 00:02:17,P2,2023-05-04 00:02:24,7.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600403,,,,,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600401,,,,2017,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
DataViewCreated,DataView_2146600359,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
DataViewCreated,DataView_2146600358,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
DataViewCreated,DataView_2146600357,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
DataViewCreated,DataView_2146600356,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:02:24,P2,2023-05-04 00:02:26,2.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600403,,,,,,both,2023-05-04 00:02:26,P2,2023-05-04 00:02:30,4.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600401,,,,,,both,2023-05-04 00:02:26,P2,2023-05-04 00:02:30,4.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600244,,,,,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600242,,,,2017,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600200,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600199,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600198,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600197,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146600089,,,,,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146600087,,,,2017,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600045,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600044,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600043,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
DataViewCreated,DataView_2146600042,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:02:30,P2,2023-05-04 00:02:34,4.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600244,,,,,,both,2023-05-04 00:02:34,P2,2023-05-04 00:02:40,6.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600242,,,,,,both,2023-05-04 00:02:34,P2,2023-05-04 00:02:40,6.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600087,,,,2017,Norrk?ping,both,2023-05-04 00:02:40,P2,2023-05-04 00:02:44,4.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146600087,,,,2017,Norrk?ping,female,2023-05-04 00:02:44,P2,2023-05-04 00:03:24,40.0
Task 3,,,,,,,,2023-05-04 00:03:24,P2,2023-05-04 00:03:31,7.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600560,,,,,,both,2023-05-04 00:03:31,P2,2023-05-04 00:03:32,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600558,,,,,,both,2023-05-04 00:03:31,P2,2023-05-04 00:03:32,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146600089,,,,,,both,2023-05-04 00:03:32,P2,2023-05-04 00:04:22,50.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146600087,,,,,,both,2023-05-04 00:03:32,P2,2023-05-04 00:04:22,50.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:04:22,P2,2023-05-04 00:04:27,5.0
ButtonClicked,FemaleTouchButton,,,,,,both,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599917,,,,2017,,female,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
DataViewCreated,DataView_2146599875,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
DataViewCreated,DataView_2146599874,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
DataViewCreated,DataView_2146599873,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
DataViewCreated,DataView_2146599872,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:04:27,P2,2023-05-04 00:04:36,9.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:04:36,P2,2023-05-04 00:05:10,34.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146599713,,,,,,both,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599711,,,,2017,,female,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
DataViewCreated,DataView_2146599669,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
DataViewCreated,DataView_2146599668,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
DataViewCreated,DataView_2146599667,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
DataViewCreated,DataView_2146599666,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:10,P2,2023-05-04 00:05:11,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599713,,,,,,both,2023-05-04 00:05:11,P2,2023-05-04 00:05:12,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599711,,,,,,both,2023-05-04 00:05:11,P2,2023-05-04 00:05:12,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599919,,,,,,both,2023-05-04 00:05:12,P2,2023-05-04 00:05:25,13.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599917,,,,,,both,2023-05-04 00:05:12,P2,2023-05-04 00:05:25,13.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146599550,,,,,,both,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599548,,,,2017,,female,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
DataViewCreated,DataView_2146599506,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
DataViewCreated,DataView_2146599505,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
DataViewCreated,DataView_2146599504,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
DataViewCreated,DataView_2146599503,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:25,P2,2023-05-04 00:05:36,11.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146599395,,,,,,both,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599393,,,,2017,,female,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
DataViewCreated,DataView_2146599351,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
DataViewCreated,DataView_2146599350,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
DataViewCreated,DataView_2146599349,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
DataViewCreated,DataView_2146599348,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:36,P2,2023-05-04 00:05:44,8.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146599240,,,,,,both,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599238,,,,2017,,female,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
DataViewCreated,DataView_2146599196,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
DataViewCreated,DataView_2146599195,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
DataViewCreated,DataView_2146599194,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
DataViewCreated,DataView_2146599193,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:44,P2,2023-05-04 00:05:50,6.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146599085,,,,,,both,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146599083,,,,2017,,female,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
DataViewCreated,DataView_2146599041,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
DataViewCreated,DataView_2146599040,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
DataViewCreated,DataView_2146599039,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
DataViewCreated,DataView_2146599038,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:50,P2,2023-05-04 00:06:07,17.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599395,,,,,,both,2023-05-04 00:06:07,P2,2023-05-04 00:06:10,3.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599393,,,,,,both,2023-05-04 00:06:07,P2,2023-05-04 00:06:10,3.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599240,,,,,,both,2023-05-04 00:06:10,P2,2023-05-04 00:06:11,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599238,,,,,,both,2023-05-04 00:06:10,P2,2023-05-04 00:06:11,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146599548,,,,2005,?tvidaberg,female,2023-05-04 00:06:11,P2,2023-05-04 00:06:14,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146599548,,,,2004,?tvidaberg,female,2023-05-04 00:06:11,P2,2023-05-04 00:06:14,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146599548,,,,2003,?tvidaberg,female,2023-05-04 00:06:11,P2,2023-05-04 00:06:14,3.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599550,,,,,,both,2023-05-04 00:06:14,P2,2023-05-04 00:06:21,7.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599548,,,,,,both,2023-05-04 00:06:14,P2,2023-05-04 00:06:21,7.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146598918,,,,,,both,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146598916,,,,2017,,female,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
DataViewCreated,DataView_2146598874,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
DataViewCreated,DataView_2146598873,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
DataViewCreated,DataView_2146598872,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
DataViewCreated,DataView_2146598871,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:06:21,P2,2023-05-04 00:06:27,6.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146598763,,,,,,both,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146598761,,,,2017,,female,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
DataViewCreated,DataView_2146598719,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
DataViewCreated,DataView_2146598718,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
DataViewCreated,DataView_2146598717,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
DataViewCreated,DataView_2146598716,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:06:27,P2,2023-05-04 00:06:30,3.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146598763,,,,,,both,2023-05-04 00:06:30,P2,2023-05-04 00:06:31,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146598761,,,,,,both,2023-05-04 00:06:30,P2,2023-05-04 00:06:31,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146599085,,,,,,both,2023-05-04 00:06:31,P2,2023-05-04 00:06:39,8.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146599083,,,,,,both,2023-05-04 00:06:31,P2,2023-05-04 00:06:39,8.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146598600,,,,,,both,2023-05-04 00:06:39,P2,2023-05-04 00:06:41,2.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146598598,,,,2017,,female,2023-05-04 00:06:39,P2,2023-05-04 00:06:41,2.0
DataViewCreated,DataView_2146598556,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:06:39,P2,2023-05-04 00:06:41,2.0
DataViewCreated,DataView_2146598555,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:06:39,P2,2023-05-04 00:06:41,2.0
