event,ID,year,municipality,gender,start,end,participant,duration,view,complete
Task 1,,,,,2023-05-04 00:00:00,2023-05-04 00:00:22,P6,22.0,AgeButton,True
FilterSetCreated,2146756685,2017,,both,2023-05-04 00:00:00,2023-05-04 00:00:22,P6,22.0,IncomeButton,False
FilterSetCreated,2146756456,2017,,both,2023-05-04 00:00:22,2023-05-04 00:00:47,P6,25.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,both,2023-05-04 00:00:47,2023-05-04 00:00:54,P6,7.0,IncomeButton,True
Task 2,,,,,2023-05-04 00:00:47,2023-05-04 00:00:54,P6,7.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,male,2023-05-04 00:00:54,2023-05-04 00:00:56,P6,2.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,female,2023-05-04 00:00:56,2023-05-04 00:00:57,P6,1.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,male,2023-05-04 00:00:57,2023-05-04 00:00:59,P6,2.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,female,2023-05-04 00:00:59,2023-05-04 00:01:01,P6,2.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,female,2023-05-04 00:01:01,2023-05-04 00:01:05,P6,4.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,female,2023-05-04 00:01:05,2023-05-04 00:01:08,P6,3.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,male,2023-05-04 00:01:08,2023-05-04 00:01:32,P6,24.0,IncomeButton,True
FilterSetUpdated,2146756456,2017,Norrk?ping,female,2023-05-04 00:01:32,2023-05-04 00:01:46,P6,14.0,IncomeButton,True
FilterSetDestroyed,2146756456,,,both,2023-05-04 00:01:46,2023-05-04 00:01:59,P6,13.0,IncomeButton,True
Task 3,,,,,2023-05-04 00:01:59,2023-05-04 00:02:05,P6,6.0,IncomeButton,True
FilterSetCreated,2146756290,2017,,both,2023-05-04 00:02:05,2023-05-04 00:02:15,P6,10.0,IncomeButton,False
FilterSetCreated,2146756054,2017,,both,2023-05-04 00:02:15,2023-05-04 00:02:20,P6,5.0,IncomeButton,True
FilterSetUpdated,2146756054,2017,,both,2023-05-04 00:02:20,2023-05-04 00:02:43,P6,23.0,IncomeButton,True
FilterSetDestroyed,2146756054,,,both,2023-05-04 00:02:43,2023-05-04 00:02:50,P6,7.0,IncomeButton,True
FilterSetCreated,2146755890,2017,,both,2023-05-04 00:02:50,2023-05-04 00:03:00,P6,10.0,IncomeButton,True
FilterSetCreated,2146755339,2017,,both,2023-05-04 00:03:00,2023-05-04 00:03:02,P6,2.0,IncomeButton,True
FilterSetUpdated,2146755339,2017,?tvidaberg,both,2023-05-04 00:03:02,2023-05-04 00:03:05,P6,3.0,IncomeButton,True
FilterSetUpdated,2146755339,2017,?tvidaberg,female,2023-05-04 00:03:05,2023-05-04 00:03:14,P6,9.0,IncomeButton,True
FilterSetCreated,2146755183,2017,,both,2023-05-04 00:03:14,2023-05-04 00:03:18,P6,4.0,IncomeButton,True
FilterSetUpdated,2146755183,2017,Norrk?ping,both,2023-05-04 00:03:18,2023-05-04 00:03:20,P6,2.0,IncomeButton,True
FilterSetUpdated,2146755183,2017,Norrk?ping,female,2023-05-04 00:03:20,2023-05-04 00:03:29,P6,9.0,IncomeButton,True
FilterSetCreated,2146755027,2017,,both,2023-05-04 00:03:29,2023-05-04 00:03:33,P6,4.0,IncomeButton,True
FilterSetUpdated,2146755027,2017,S?derk?ping,both,2023-05-04 00:03:33,2023-05-04 00:03:35,P6,2.0,IncomeButton,True
FilterSetUpdated,2146755027,2017,S?derk?ping,female,2023-05-04 00:03:35,2023-05-04 00:03:58,P6,23.0,IncomeButton,True
FilterSetCreated,2146754871,2017,,both,2023-05-04 00:03:58,2023-05-04 00:04:02,P6,4.0,IncomeButton,True
FilterSetUpdated,2146754871,2017,Valdemarsvik,both,2023-05-04 00:04:02,2023-05-04 00:04:04,P6,2.0,IncomeButton,True
FilterSetUpdated,2146754871,2017,Valdemarsvik,female,2023-05-04 00:04:04,2023-05-04 00:04:16,P6,12.0,IncomeButton,True
