event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:01,P7,1.0,True
FilterSetCreated,2147023314,2023-05-04 00:00:01,2023-05-04 00:00:05,P7,4.0,False
FilterSetCreated,2147023083,2023-05-04 00:00:13,2023-05-04 00:00:47,P7,33.0,True
Task 2,,2023-05-04 00:00:47,2023-05-04 00:00:54,P7,7.0,True
FilterSetUpdated,2147023083,2023-05-04 00:00:54,2023-05-04 00:01:11,P7,9.0,True
FilterSetCreated,2147022926,2023-05-04 00:01:11,2023-05-04 00:01:52,P7,3.0,True
Task 3,,2023-05-04 00:01:52,2023-05-04 00:02:04,P7,12.0,True
FilterSetDestroyed,2147023083,2023-05-04 00:02:04,2023-05-04 00:02:28,P7,24.0,True
FilterSetCreated,2147022765,2023-05-04 00:02:28,2023-05-04 00:02:35,P7,7.0,True
FilterSetCreated,2147022610,2023-05-04 00:02:35,2023-05-04 00:02:41,P7,3.0,True
FilterSetUpdated,2147022765,2023-05-04 00:02:38,2023-05-04 00:02:52,P7,3.0,True
FilterSetCreated,2147022449,2023-05-04 00:02:52,2023-05-04 00:03:14,P7,6.0,True
FilterSetCreated,2147022291,2023-05-04 00:03:21,2023-05-04 00:03:29,P7,5.0,True
FilterSetCreated,2147022131,2023-05-04 00:03:45,2023-05-04 00:03:51,P7,3.0,True
FilterSetCreated,2147021972,2023-05-04 00:03:51,2023-05-04 00:03:54,P7,3.0,True
FilterSetCreated,2147021817,2023-05-04 00:03:54,2023-05-04 00:03:56,P7,2.0,True
FilterSetUpdated,2147021972,2023-05-04 00:03:56,2023-05-04 00:04:01,P7,2.0,True
FilterSetUpdated,2147021817,2023-05-04 00:04:01,2023-05-04 00:04:07,P7,1.0,True
FilterSetDestroyed,2147022449,2023-05-04 00:04:07,2023-05-04 00:04:10,P7,3.0,True
FilterSetDestroyed,2147022765,2023-05-04 00:04:07,2023-05-04 00:04:10,P7,3.0,True
FilterSetDestroyed,2147022926,2023-05-04 00:04:10,2023-05-04 00:04:21,P7,11.0,True
FilterSetCreated,2147021646,2023-05-04 00:04:21,2023-05-04 00:05:04,P7,1.0,True
Task 4,,2023-05-04 00:05:04,2023-05-04 00:05:07,P7,3.0,True
FilterSetDestroyed,2147021646,2023-05-04 00:05:07,2023-05-04 00:05:09,P7,2.0,True
FilterSetDestroyed,2147021972,2023-05-04 00:05:09,2023-05-04 00:05:10,P7,1.0,True
FilterSetDestroyed,2147021817,2023-05-04 00:05:10,2023-05-04 00:05:13,P7,3.0,True
FilterSetCreated,2147021477,2023-05-04 00:05:13,2023-05-04 00:05:40,P7,5.0,True
FilterSetCreated,2147021320,2023-05-04 00:05:40,2023-05-04 00:05:56,P7,3.0,True
FilterSetCreated,2147021163,2023-05-04 00:05:56,2023-05-04 00:06:07,P7,6.0,True
FilterSetCreated,2147021006,2023-05-04 00:06:07,2023-05-04 00:07:04,P7,3.0,True
Task 5,,2023-05-04 00:07:04,2023-05-04 00:07:16,P7,12.0,True
FilterSetDestroyed,2147021006,2023-05-04 00:07:16,2023-05-04 00:07:18,P7,2.0,True
FilterSetDestroyed,2147021163,2023-05-04 00:07:18,2023-05-04 00:07:19,P7,1.0,True
FilterSetDestroyed,2147021320,2023-05-04 00:07:18,2023-05-04 00:07:19,P7,1.0,True
FilterSetDestroyed,2147021477,2023-05-04 00:07:19,2023-05-04 00:07:22,P7,3.0,True
FilterSetCreated,2147020832,2023-05-04 00:07:22,2023-05-04 00:07:27,P7,5.0,False
FilterSetCreated,2147020677,2023-05-04 00:07:27,2023-05-04 00:07:45,P7,6.0,False
FilterSetCreated,2147020518,2023-05-04 00:07:45,2023-05-04 00:07:51,P7,6.0,False
FilterSetCreated,2147020289,2023-05-04 00:07:51,2023-05-04 00:08:13,P7,13.0,False
FilterSetCreated,2147020132,2023-05-04 00:08:13,2023-05-04 00:08:28,P7,4.0,False
FilterSetCreated,2147019973,2023-05-04 00:08:28,2023-05-04 00:08:31,P7,3.0,False
FilterSetCreated,2147019791,2023-05-04 00:08:31,2023-05-04 00:08:48,P7,6.0,False
FilterSetCreated,2147019681,2023-05-04 00:08:48,2023-05-04 00:08:58,P7,10.0,False
FilterSetUpdated,2147019791,2023-05-04 00:08:58,2023-05-04 00:08:59,P7,1.0,False
FilterSetUpdated,2147019681,2023-05-04 00:08:59,2023-05-04 00:09:02,P7,3.0,False
FilterSetUpdated,2147019791,2023-05-04 00:09:02,2023-05-04 00:09:03,P7,1.0,False
FilterSetUpdated,2147020132,2023-05-04 00:09:03,2023-05-04 00:09:09,P7,6.0,False
FilterSetUpdated,2147020289,2023-05-04 00:09:09,2023-05-04 00:09:46,P7,37.0,False
FilterSetUpdated,2147019681,2023-05-04 00:09:46,2023-05-04 00:09:46,P7,0.0,False
Task 6,,2023-05-04 00:09:46,2023-05-04 00:09:49,P7,3.0,True
