event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:10,P1,10.0,True
FilterSetCreated,2146828882,2023-05-04 00:00:00,2023-05-04 00:00:10,P1,10.0,False
FilterSetCreated,2146828653,2023-05-04 00:00:10,2023-05-04 00:00:57,P1,15.0,True
Task 2,,2023-05-04 00:00:57,2023-05-04 00:01:00,P1,3.0,True
FilterSetUpdated,2146828653,2023-05-04 00:01:00,2023-05-04 00:01:12,P1,1.0,True
FilterSetCreated,2146828497,2023-05-04 00:01:12,2023-05-04 00:01:56,P1,3.0,True
Task 3,,2023-05-04 00:01:56,2023-05-04 00:02:12,P1,16.0,True
FilterSetDestroyed,2146828497,2023-05-04 00:02:12,2023-05-04 00:02:13,P1,1.0,True
FilterSetDestroyed,2146828653,2023-05-04 00:02:13,2023-05-04 00:02:29,P1,16.0,True
FilterSetCreated,2146828329,2023-05-04 00:02:29,2023-05-04 00:02:36,P1,7.0,False
FilterSetCreated,2146828123,2023-05-04 00:02:36,2023-05-04 00:02:43,P1,3.0,True
FilterSetCreated,2146827960,2023-05-04 00:02:43,2023-05-04 00:03:10,P1,27.0,True
FilterSetCreated,2146827429,2023-05-04 00:03:10,2023-05-04 00:03:11,P1,1.0,True
FilterSetCreated,2146827274,2023-05-04 00:03:11,2023-05-04 00:03:15,P1,4.0,True
FilterSetCreated,2146827119,2023-05-04 00:03:15,2023-05-04 00:03:16,P1,1.0,True
FilterSetCreated,2146826964,2023-05-04 00:03:16,2023-05-04 00:03:18,P1,2.0,True
FilterSetCreated,2146826809,2023-05-04 00:03:18,2023-05-04 00:03:20,P1,2.0,True
FilterSetCreated,2146826654,2023-05-04 00:03:20,2023-05-04 00:03:23,P1,3.0,True
FilterSetCreated,2146826499,2023-05-04 00:03:23,2023-05-04 00:03:59,P1,36.0,True
FilterSetDestroyed,2146827960,2023-05-04 00:03:59,2023-05-04 00:04:02,P1,3.0,True
FilterSetCreated,2146826340,2023-05-04 00:04:02,2023-05-04 00:04:11,P1,9.0,True
FilterSetCreated,2146826185,2023-05-04 00:04:11,2023-05-04 00:04:16,P1,4.0,True
FilterSetCreated,2146826026,2023-05-04 00:04:16,2023-05-04 00:04:19,P1,3.0,True
FilterSetCreated,2146825871,2023-05-04 00:04:19,2023-05-04 00:04:43,P1,24.0,True
FilterSetUpdated,2146827274,2023-05-04 00:04:43,2023-05-04 00:05:21,P1,2.0,True
FilterSetUpdated,2146826964,2023-05-04 00:05:21,2023-05-04 00:05:22,P1,1.0,True
FilterSetUpdated,2146826026,2023-05-04 00:05:22,2023-05-04 00:05:25,P1,1.0,True
FilterSetUpdated,2146825871,2023-05-04 00:05:25,2023-05-04 00:05:28,P1,1.0,True
FilterSetUpdated,2146826340,2023-05-04 00:05:28,2023-05-04 00:05:37,P1,9.0,True
FilterSetUpdated,2146826026,2023-05-04 00:05:37,2023-05-04 00:05:40,P1,1.0,True
FilterSetUpdated,2146827274,2023-05-04 00:05:40,2023-05-04 00:05:45,P1,1.0,True
FilterSetUpdated,2146826654,2023-05-04 00:05:45,2023-05-04 00:05:46,P1,1.0,True
FilterSetUpdated,2146826499,2023-05-04 00:05:46,2023-05-04 00:05:49,P1,1.0,True
FilterSetUpdated,2146826809,2023-05-04 00:05:49,2023-05-04 00:05:52,P1,3.0,True
FilterSetUpdated,2146827429,2023-05-04 00:05:52,2023-05-04 00:05:54,P1,1.0,True
FilterSetUpdated,2146827119,2023-05-04 00:05:54,2023-05-04 00:06:26,P1,30.0,True
FilterSetDestroyed,2146827429,2023-05-04 00:06:26,2023-05-04 00:06:27,P1,1.0,True
FilterSetDestroyed,2146826654,2023-05-04 00:06:27,2023-05-04 00:06:28,P1,1.0,True
FilterSetDestroyed,2146826026,2023-05-04 00:06:28,2023-05-04 00:06:29,P1,1.0,True
FilterSetDestroyed,2146826964,2023-05-04 00:06:28,2023-05-04 00:06:29,P1,1.0,True
