event,ID,start,end,participant,duration,complete
FilterSetDestroyed,2146826499,2023-05-04 00:06:29,2023-05-04 00:06:30,P1,1.0,True
FilterSetDestroyed,2146826809,2023-05-04 00:06:30,2023-05-04 00:06:31,P1,1.0,True
FilterSetDestroyed,2146825871,2023-05-04 00:06:31,2023-05-04 00:06:36,P1,5.0,True
FilterSetDestroyed,2146826340,2023-05-04 00:06:31,2023-05-04 00:06:36,P1,5.0,True
FilterSetCreated,2146825666,2023-05-04 00:06:36,2023-05-04 00:06:38,P1,2.0,True
FilterSetCreated,2146825511,2023-05-04 00:06:38,2023-05-04 00:06:40,P1,2.0,True
FilterSetCreated,2146825356,2023-05-04 00:06:40,2023-05-04 00:06:42,P1,2.0,True
FilterSetUpdated,2146825511,2023-05-04 00:06:42,2023-05-04 00:06:43,P1,1.0,True
FilterSetUpdated,2146825356,2023-05-04 00:06:43,2023-05-04 00:06:45,P1,1.0,True
FilterSetUpdated,2146825666,2023-05-04 00:06:44,2023-05-04 00:06:46,P1,1.0,True
FilterSetUpdated,2146825511,2023-05-04 00:06:46,2023-05-04 00:07:20,P1,3.0,True
FilterSetDestroyed,2146827274,2023-05-04 00:07:20,2023-05-04 00:07:24,P1,4.0,True
FilterSetDestroyed,2146825356,2023-05-04 00:07:20,2023-05-04 00:07:24,P1,4.0,True
FilterSetDestroyed,2146825511,2023-05-04 00:07:24,2023-05-04 00:07:25,P1,1.0,True
FilterSetDestroyed,2146825666,2023-05-04 00:07:25,2023-05-04 00:07:29,P1,4.0,True
FilterSetCreated,2146825182,2023-05-04 00:07:25,2023-05-04 00:07:29,P1,4.0,False
FilterSetCreated,2146825027,2023-05-04 00:07:29,2023-05-04 00:07:32,P1,2.0,True
Task 4,,2023-05-04 00:07:31,2023-05-04 00:07:32,P1,1.0,True
FilterSetUpdated,2146825182,2023-05-04 00:07:32,2023-05-04 00:07:44,P1,5.0,False
FilterSetCreated,2146824867,2023-05-04 00:07:44,2023-05-04 00:07:54,P1,3.0,False
FilterSetUpdated,2146825182,2023-05-04 00:07:54,2023-05-04 00:08:00,P1,3.0,False
FilterSetUpdated,2146824867,2023-05-04 00:08:00,2023-05-04 00:08:02,P1,2.0,False
FilterSetUpdated,2146825182,2023-05-04 00:08:02,2023-05-04 00:08:17,P1,15.0,False
FilterSetCreated,2146824709,2023-05-04 00:08:17,2023-05-04 00:08:28,P1,2.0,True
FilterSetCreated,2146824553,2023-05-04 00:08:28,2023-05-04 00:08:39,P1,2.0,True
FilterSetUpdated,2146825182,2023-05-04 00:08:39,2023-05-04 00:11:00,P1,141.0,False
Task 5,,2023-05-04 00:11:00,2023-05-04 00:11:39,P1,39.0,True
FilterSetDestroyed,2146824709,2023-05-04 00:11:39,2023-05-04 00:11:41,P1,2.0,True
FilterSetDestroyed,2146824553,2023-05-04 00:11:41,2023-05-04 00:11:43,P1,2.0,True
FilterSetCreated,2146824387,2023-05-04 00:11:43,2023-05-04 00:11:55,P1,3.0,False
FilterSetCreated,2146824231,2023-05-04 00:11:55,2023-05-04 00:11:59,P1,4.0,False
FilterSetUpdated,2146824387,2023-05-04 00:11:59,2023-05-04 00:12:04,P1,5.0,False
FilterSetUpdated,2146824231,2023-05-04 00:12:04,2023-05-04 00:12:12,P1,3.0,False
FilterSetUpdated,2146824387,2023-05-04 00:12:12,2023-05-04 00:12:14,P1,1.0,False
Task 6,,2023-05-04 00:12:14,2023-05-04 00:12:17,P1,3.0,True
