event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756691,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:00:00,P6
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P6
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146757010,,,,,,,2023-05-04 00:00:00,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756687,,,,,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756672,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756671,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756670,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756669,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P6
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,,2023-05-04 00:00:00,P6
DataViewDestroyed,DataView_2146756672,AverageIncome-MapFilter-Info,AverageIncome,[],,,,2023-05-04 00:00:00,P6
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P6
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:00,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756685,,,,2017,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756639,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756638,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756637,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:00,P6
DataViewCreated,DataView_2146756636,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:00,P6
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756458,,,,,,,2023-05-04 00:00:22,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,,,2023-05-04 00:00:22,P6
DataViewCreated,DataView_2146756414,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:22,P6
DataViewCreated,DataView_2146756413,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:22,P6
DataViewCreated,DataView_2146756412,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:22,P6
DataViewCreated,DataView_2146756411,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:22,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,,2023-05-04 00:00:47,P6
Task 2,,,,,,,,2023-05-04 00:00:47,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,male,2023-05-04 00:00:54,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,female,2023-05-04 00:00:56,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,male,2023-05-04 00:00:57,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,female,2023-05-04 00:00:59,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,female,2023-05-04 00:01:01,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,female,2023-05-04 00:01:05,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,male,2023-05-04 00:01:08,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,Norrk?ping,female,2023-05-04 00:01:32,P6
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146756458,,,,,,,2023-05-04 00:01:46,P6
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146756456,,,,,,,2023-05-04 00:01:46,P6
Task 3,,,,,,,,2023-05-04 00:01:59,P6
DataViewDestroyed,DataView_2146756691,AverageIncome-Municipality,AverageIncome,[],,,,2023-05-04 00:02:05,P6
DataViewCreated,DataView_2146756296,AverageIncome-County,AverageIncome,"[County, Year]",,,,2023-05-04 00:02:05,P6
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:02:05,P6
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146756687,,,,,,,2023-05-04 00:02:05,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756292,,,,,,,2023-05-04 00:02:05,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756290,,,,2017,,,2023-05-04 00:02:05,P6
DataViewCreated,DataView_2146756227,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:02:05,P6
DataViewCreated,DataView_2146756226,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:02:05,P6
DataViewCreated,DataView_2146756225,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:02:05,P6
DataViewCreated,DataView_2146756224,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:02:05,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756056,,,,,,,2023-05-04 00:02:15,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756054,,,,2017,,,2023-05-04 00:02:15,P6
DataViewCreated,DataView_2146756012,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:02:15,P6
DataViewCreated,DataView_2146756011,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:02:15,P6
DataViewCreated,DataView_2146756010,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:02:15,P6
DataViewCreated,DataView_2146756009,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:02:15,P6
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146756054,,,,2017,,,2023-05-04 00:02:20,P6
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146756056,,,,,,,2023-05-04 00:02:43,P6
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146756054,,,,,,,2023-05-04 00:02:43,P6
DataViewDestroyed,DataView_2146756296,AverageIncome-County,AverageIncome,[],,,,2023-05-04 00:02:50,P6
DataViewCreated,DataView_2146755896,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:02:50,P6
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:02:50,P6
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146756292,,,,,,,2023-05-04 00:02:50,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146755892,,,,,,,2023-05-04 00:02:50,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146755890,,,,2017,,,2023-05-04 00:02:50,P6
DataViewCreated,DataView_2146755512,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:02:50,P6
DataViewCreated,DataView_2146755511,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:02:50,P6
DataViewCreated,DataView_2146755510,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:02:50,P6
DataViewCreated,DataView_2146755509,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:02:50,P6
ActorSpawned,BP_RegionMarker3DWidgets_C_2146755341,,,,,,,2023-05-04 00:03:00,P6
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146755339,,,,2017,,,2023-05-04 00:03:00,P6
DataViewCreated,DataView_2146755297,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:03:00,P6
DataViewCreated,DataView_2146755296,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:03:00,P6
