event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:13,P5,13.0,True
FilterSetCreated,2146757967,2023-05-04 00:00:00,2023-05-04 00:00:13,P5,13.0,True
FilterSetCreated,2146757808,2023-05-04 00:00:13,2023-05-04 00:00:22,P5,9.0,True
FilterSetDestroyed,2146757967,2023-05-04 00:00:22,2023-05-04 00:00:25,P5,3.0,True
FilterSetDestroyed,2146757808,2023-05-04 00:00:25,2023-05-04 00:00:28,P5,3.0,True
FilterSetCreated,2146757571,2023-05-04 00:00:28,2023-05-04 00:01:12,P5,9.0,True
FilterSetCreated,2146757411,2023-05-04 00:01:12,2023-05-04 00:01:24,P5,4.0,True
Task 2,,2023-05-04 00:01:24,2023-05-04 00:02:04,P5,40.0,True
FilterSetDestroyed,2146757411,2023-05-04 00:02:04,2023-05-04 00:02:13,P5,9.0,True
Task 3,,2023-05-04 00:02:13,2023-05-04 00:02:21,P5,8.0,True
FilterSetCreated,2146757250,2023-05-04 00:02:21,2023-05-04 00:02:34,P5,13.0,True
FilterSetCreated,2146757014,2023-05-04 00:02:34,2023-05-04 00:02:46,P5,9.0,True
FilterSetDestroyed,2146757250,2023-05-04 00:02:46,2023-05-04 00:02:49,P5,3.0,True
FilterSetCreated,2146756850,2023-05-04 00:02:49,2023-05-04 00:03:14,P5,25.0,False
FilterSetCreated,2146756299,2023-05-04 00:03:14,2023-05-04 00:03:37,P5,2.0,True
FilterSetCreated,2146756140,2023-05-04 00:03:37,2023-05-04 00:03:57,P5,4.0,True
FilterSetCreated,2146755980,2023-05-04 00:03:57,2023-05-04 00:04:10,P5,4.0,True
FilterSetCreated,2146755820,2023-05-04 00:04:10,2023-05-04 00:04:20,P5,1.0,True
FilterSetCreated,2146755660,2023-05-04 00:04:20,2023-05-04 00:04:33,P5,2.0,True
FilterSetCreated,2146755500,2023-05-04 00:04:33,2023-05-04 00:04:58,P5,2.0,True
FilterSetCreated,2146755340,2023-05-04 00:04:58,2023-05-04 00:05:13,P5,1.0,True
FilterSetCreated,2146755180,2023-05-04 00:05:13,2023-05-04 00:05:28,P5,6.0,True
FilterSetCreated,2146755021,2023-05-04 00:05:28,2023-05-04 00:06:02,P5,2.0,True
FilterSetCreated,2146754861,2023-05-04 00:06:02,2023-05-04 00:06:14,P5,3.0,True
FilterSetCreated,2146754701,2023-05-04 00:06:14,2023-05-04 00:06:22,P5,1.0,True
FilterSetCreated,2146754545,2023-05-04 00:06:22,2023-05-04 00:06:31,P5,8.0,True
FilterSetDestroyed,2146754701,2023-05-04 00:06:31,2023-05-04 00:07:01,P5,30.0,True
Task 4,,2023-05-04 00:07:01,2023-05-04 00:07:11,P5,10.0,True
FilterSetCreated,2146754382,2023-05-04 00:07:11,2023-05-04 00:08:56,P5,1.0,True
Task 5,,2023-05-04 00:08:56,2023-05-04 00:09:00,P5,4.0,True
FilterSetCreated,2146754222,2023-05-04 00:09:00,2023-05-04 00:09:01,P5,1.0,True
FilterSetCreated,2146754063,2023-05-04 00:09:01,2023-05-04 00:09:02,P5,1.0,False
FilterSetDestroyed,2146754222,2023-05-04 00:09:16,2023-05-04 00:09:17,P5,1.0,True
FilterSetCreated,2146753826,2023-05-04 00:09:17,2023-05-04 00:09:21,P5,4.0,False
FilterSetCreated,2146753339,2023-05-04 00:09:30,2023-05-04 00:09:37,P5,7.0,False
FilterSetCreated,2146752707,2023-05-04 00:10:04,2023-05-04 00:10:05,P5,1.0,False
FilterSetCreated,2146752545,2023-05-04 00:10:05,2023-05-04 00:10:06,P5,1.0,False
FilterSetCreated,2146752423,2023-05-04 00:10:06,2023-05-04 00:10:08,P5,2.0,False
FilterSetCreated,2146752221,2023-05-04 00:10:08,2023-05-04 00:10:11,P5,3.0,False
FilterSetCreated,2146752079,2023-05-04 00:10:08,2023-05-04 00:10:11,P5,3.0,False
FilterSetCreated,2146751847,2023-05-04 00:10:11,2023-05-04 00:10:20,P5,9.0,False
FilterSetCreated,2146751685,2023-05-04 00:10:20,2023-05-04 00:10:40,P5,20.0,False
FilterSetCreated,2146751533,2023-05-04 00:10:20,2023-05-04 00:10:40,P5,20.0,False
FilterSetCreated,2146751340,2023-05-04 00:10:40,2023-05-04 00:10:41,P5,1.0,False
FilterSetCreated,2146751111,2023-05-04 00:10:41,2023-05-04 00:10:45,P5,4.0,False
FilterSetCreated,2146750878,2023-05-04 00:10:45,2023-05-04 00:10:47,P5,2.0,False
FilterSetCreated,2146749708,2023-05-04 00:11:38,2023-05-04 00:11:45,P5,7.0,False
FilterSetCreated,2146749286,2023-05-04 00:14:06,2023-05-04 00:14:10,P5,4.0,False
FilterSetCreated,2146748987,2023-05-04 00:14:31,2023-05-04 00:14:33,P5,2.0,False
FilterSetCreated,2146748774,2023-05-04 00:14:46,2023-05-04 00:15:09,P5,3.0,True
FilterSetCreated,2146748662,2023-05-04 00:15:09,2023-05-04 00:15:17,P5,3.0,True
FilterSetUpdated,2146748774,2023-05-04 00:15:17,2023-05-04 00:15:37,P5,4.0,True
Task 6,,2023-05-04 00:15:37,2023-05-04 00:15:40,P5,3.0,True
