event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756691,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146757010,,,,,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756687,,,,,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756672,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756671,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756670,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756669,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewDestroyed,DataView_2146756672,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756685,,,,2017,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756639,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756638,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756637,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
DataViewCreated,DataView_2146756636,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P6,2023-05-04 00:00:22,22.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2146756458,,,,,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146756456,,,,2017,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
DataViewCreated,DataView_2146756414,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
DataViewCreated,DataView_2146756413,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
DataViewCreated,DataView_2146756412,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
DataViewCreated,DataView_2146756411,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:00:22,P6,2023-05-04 00:00:47,25.0
