event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073401,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:00:00,P4
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P4
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146073720,,,,,,,2023-05-04 00:00:00,P4
ActorSpawned,BP_RegionMarker3DWidgets_C_2146073397,,,,,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073382,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073381,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073380,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073379,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:00,P4
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,,2023-05-04 00:00:00,P4
DataViewDestroyed,DataView_2146073382,AverageIncome-MapFilter-Info,AverageIncome,[],,,,2023-05-04 00:00:00,P4
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P4
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:00,P4
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146073395,,,,2017,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073349,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073348,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073347,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:00,P4
DataViewCreated,DataView_2146073346,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:00,P4
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:00,P4
ActorSpawned,BP_RegionMarker3DWidgets_C_2146073168,,,,,,,2023-05-04 00:00:12,P4
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,,,2023-05-04 00:00:12,P4
DataViewCreated,DataView_2146073124,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:12,P4
DataViewCreated,DataView_2146073123,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:12,P4
DataViewCreated,DataView_2146073122,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:12,P4
DataViewCreated,DataView_2146073121,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:12,P4
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146073166,,,,2017,Norrk?ping,,2023-05-04 00:00:48,P4
Task 2,,,,,,,,2023-05-04 00:00:52,P4
